image_id,src_file,group_id,category,print_type,surface,capture_note,source,collected_by,collected_at,orig_w,orig_h,orig_exif_orientation,orig_bytes,out_w,out_h,out_bytes
cust_0065,IMG_8817.JPG,cust_0065,,,,,,,2026-09-14,4032,3024,6,2665193,1536,2048,382461
cust_0066,IMG_8818.JPG,cust_0066,,,,,,,2026-09-14,4032,3024,6,3284979,1536,2048,713577
cust_0067,IMG_8819.JPG,cust_0067,,,,,,,2026-09-14,4032,3024,6,2875241,1536,2048,526055
cust_0068,IMG_8820.JPG,cust_0068,,,,,,,2026-09-14,4032,3024,6,2511795,1536,2048,464761
cust_0069,custom_data/images/KakaoTalk_20260914_222748929.jpg,cust_0069,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,190630,901,1600,190630
cust_0070,custom_data/images/KakaoTalk_20260914_222748929_01.jpg,cust_0070,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,111262,901,1600,111262
cust_0071,custom_data/images/KakaoTalk_20260914_222748929_02.jpg,cust_0071,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,166259,901,1600,166259
cust_0072,custom_data/images/KakaoTalk_20260914_222748929_03.jpg,cust_0072,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,194029,901,1600,194029
cust_0073,custom_data/images/KakaoTalk_20260914_222748929_04.jpg,cust_0073,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,246219,901,1600,246219
cust_0074,custom_data/images/KakaoTalk_20260914_222748929_05.jpg,cust_0074,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,146498,901,1600,146498
cust_0075,custom_data/images/KakaoTalk_20260914_222748929_06.jpg,cust_0075,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,251786,901,1600,251786
cust_0076,custom_data/images/KakaoTalk_20260914_222748929_07.jpg,cust_0076,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,128254,901,1600,128254
cust_0077,custom_data/images/KakaoTalk_20260914_222748929_08.jpg,cust_0077,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,154480,901,1600,154480
cust_0078,custom_data/images/KakaoTalk_20260914_222748929_09.jpg,cust_0078,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,167435,901,1600,167435
cust_0079,custom_data/images/KakaoTalk_20260914_222748929_10.jpg,cust_0079,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,196750,901,1600,196750
cust_0080,custom_data/images/KakaoTalk_20260914_222748929_11.jpg,cust_0080,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,132156,901,1600,132156
cust_0081,custom_data/images/KakaoTalk_20260914_222748929_12.jpg,cust_0081,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,273916,901,1600,273916
cust_0082,custom_data/images/KakaoTalk_20260914_222748929_13.jpg,cust_0082,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,198150,901,1600,198150
cust_0083,custom_data/images/KakaoTalk_20260914_222748929_14.jpg,cust_0083,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,102897,901,1600,102897
cust_0084,custom_data/images/KakaoTalk_20260914_222748929_15.jpg,cust_0084,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,169892,901,1600,169892
cust_0085,custom_data/images/KakaoTalk_20260914_222748929_16.jpg,cust_0085,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,97986,901,1600,97986
cust_0086,custom_data/images/KakaoTalk_20260914_222748929_17.jpg,cust_0086,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,132872,901,1600,132872
cust_0087,custom_data/images/KakaoTalk_20260914_222748929_18.jpg,cust_0087,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,123941,901,1600,123941
cust_0088,custom_data/images/KakaoTalk_20260914_222748929_19.jpg,cust_0088,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,207265,901,1600,207265
cust_0089,custom_data/images/KakaoTalk_20260914_222748929_20.jpg,cust_0089,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,188389,901,1600,188389
cust_0090,custom_data/images/KakaoTalk_20260914_222748929_21.jpg,cust_0090,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,161300,901,1600,161300
cust_0091,custom_data/images/KakaoTalk_20260914_222748929_22.jpg,cust_0091,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,55071,901,1600,55071
cust_0092,custom_data/images/KakaoTalk_20260914_222748929_23.jpg,cust_0092,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,187030,901,1600,187030
cust_0093,custom_data/images/KakaoTalk_20260914_222748929_24.jpg,cust_0093,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,216369,901,1600,216369
cust_0094,custom_data/images/KakaoTalk_20260914_222748929_25.jpg,cust_0094,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,182204,901,1600,182204
cust_0095,custom_data/images/KakaoTalk_20260914_222748929_26.jpg,cust_0095,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,130853,901,1600,130853
cust_0096,custom_data/images/KakaoTalk_20260914_222748929_27.jpg,cust_0096,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,175359,901,1600,175359
cust_0097,custom_data/images/KakaoTalk_20260914_222748929_28.jpg,cust_0097,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,233279,901,1600,233279
cust_0098,custom_data/images/KakaoTalk_20260914_222748929_29.jpg,cust_0098,,,,KakaoTalk 전송본(901x1600),,,2026-09-14,901,1600,,141176,901,1600,141176
