image_id,file,split,group,cat,batch,hint_category,year,month,day,final_date,status
000412,000412.jpg,dev,43,3_상대표기,A,3_상대표기,2026,01,19,2026-01-19,완료
000422,000422.jpg,dev,44,0_일반,C,,2026,06,09,2026-06-09,완료
000424,000424.jpg,dev,44,3_상대표기,A,3_상대표기;4_참조표기,2026,03,28,2026-03-28,완료
000426,000426.jpg,dev,44,0_일반,C,,2026,12,26,2026-12-26,완료
000430,000430.jpg,holdout,45,5_판독불가_진짜,A,4_참조표기;5_판독불가_진짜,2028,02,01,2028-02-01,완료
000442,000442.jpg,dev,46,4_참조표기,C,4_참조표기,2025,11,30,2025-11-30,완료
000443,000443.jpg,dev,46,2b_부터까지쌍,C,2b_부터까지쌍;4_참조표기,2026,04,06,2026-04-06,완료
000445,000445.jpg,dev,46,5_판독불가_진짜,B,4_참조표기;5_판독불가_진짜,2026,07,17,2026-07-17,완료
000449,000449.jpg,dev,47,0_일반,B,,2026,01,28,2026-01-28,완료
000465,000465.jpg,dev,48,0_일반,A,,2027,07,30,2027-07-30,완료
000469,000469.jpg,holdout,49,5_판독불가_진짜,B,5_판독불가_진짜,2026,07,21,2026-07-21,완료
000476,000476.jpg,dev,50,0_일반,A,,2026,07,06,2026-07-06,완료
000484,000484.jpg,dev,51,5_판독불가_진짜,C,1_유통기한만;5_판독불가_진짜,2027,11,14,2027-11-14,완료
000488,000488.jpg,holdout,52,5_판독불가_진짜,C,4_참조표기;5_판독불가_진짜,2026,02,27,2026-02-27,완료
000492,000492.jpg,dev,53,5_판독불가_진짜,A,5_판독불가_진짜,2026,03,12,2026-03-12,완료
000495,000495.jpg,dev,54,2b_부터까지쌍,C,2b_부터까지쌍;3_상대표기;4_참조표기,2026,02,19,2026-02-19,완료
000509,000509.jpg,holdout,55,2b_부터까지쌍,C,2b_부터까지쌍,2026,09,01,2026-09-01,완료
000512,000512.jpg,dev,56,5_판독불가_진짜,C,5_판독불가_진짜,2026,02,17,2026-02-17,완료
000515,000515.jpg,dev,57,0_일반,B,,2026,01,NONE,2026-01-NONE,완료
000516,000516.jpg,dev,57,5b_판독불가_EXP각인추정,C,5b_판독불가_EXP각인추정,2026,07,16,2026-07-16,완료
000558,000558.jpg,dev,58,0_일반,C,,2025,05,16,2025-05-16,완료
000564,000564.jpg,dev,59,5_판독불가_진짜,A,5_판독불가_진짜,2026,06,25,2026-06-25,완료
000567,000567.jpg,holdout,60,0_일반,C,,2025,10,29,2025-10-29,완료
000569,000569.jpg,holdout,60,0_일반,A,,2025,11,02,2025-11-02,완료
000600,000600.jpg,dev,61,0_일반,A,,2026,08,31,2026-08-31,완료
000606,000606.jpg,holdout,62,0_일반,C,,2026,10,01,2026-10-01,완료
000613,000613.jpg,holdout,63,0_일반,A,,2026,05,28,2026-05-28,완료
000634,000634.jpg,dev,64,0_일반,A,,2026,02,05,2026-02-05,완료
000641,000641.jpg,dev,65,0_일반,C,,2026,09,02,2026-09-02,완료
000652,000652.jpg,holdout,66,3_상대표기,C,3_상대표기,2027,03,31,2027-03-31,완료
000655,000655.jpg,holdout,67,0_일반,A,,2026,08,27,2026-08-27,완료
000679,000679.jpg,dev,68,5_판독불가_진짜,A,5_판독불가_진짜,2027,09,17,2027-09-17,완료
000686,000686.jpg,dev,69,2_다중날짜,C,2_다중날짜,2025,10,12,2025-10-12,완료
000687,000687.jpg,dev,69,0_일반,C,,2025,10,17,2025-10-17,완료
000692,000692.jpg,dev,70,0_일반,A,,2026,08,21,2026-08-21,완료
000697,000697.jpg,holdout,71,0_일반,A,,2025,10,07,2025-10-07,완료
000710,000710.jpg,dev,72,0_일반,B,,2025,10,14,2025-10-14,완료
000716,000716.jpg,dev,73,0_일반,A,,2025,11,07,2025-11-07,완료
000737,000737.jpg,dev,74,3_상대표기,A,3_상대표기,2026,03,04,2026-03-04,완료
000739,000739.jpg,dev,74,2_다중날짜,C,2_다중날짜;3_상대표기,2024,08,07,2024-08-07,완료
000744,000744.jpg,holdout,75,3_상대표기,C,3_상대표기,2027,08,18,2027-08-18,완료
000747,000747.jpg,dev,76,3_상대표기,C,3_상대표기,2026,06,22,2026-06-22,완료
000750,000750.jpg,dev,77,0_일반,C,,2026,01,06,2026-01-06,완료
000755,000755.jpg,dev,78,4_참조표기,C,4_참조표기,2026,04,30,2026-04-30,완료
000757,000757.jpg,dev,78,5_판독불가_진짜,B,5_판독불가_진짜,NONE,10,22,NONE-10-22,완료
000776,000776.jpeg,holdout,79,0_일반,C,,2026,01,09,2026-01-09,완료
000777,000777.jpeg,holdout,79,5_판독불가_진짜,C,5_판독불가_진짜,2026,03,NONE,2026-03-NONE,완료
000780,000780.jpeg,holdout,80,0_일반,C,,2026,04,27,2026-04-27,완료
000800,000800.jpeg,dev,81,5_판독불가_진짜,C,5_판독불가_진짜,2026,08,12,2026-08-12,완료
000805,000805.jpeg,holdout,82,0_일반,A,,2027,07,NONE,2027-07-NONE,완료
000807,000807.jpeg,holdout,82,5b_판독불가_EXP각인추정,A,5b_판독불가_EXP각인추정,2026,05,29,2026-05-29,완료
000816,000816.jpeg,dev,83,0_일반,A,,2026,10,09,2026-10-09,완료
000819,000819.jpeg,dev,84,0_일반,C,,2026,05,18,2026-05-18,완료
000831,000831.jpeg,dev,85,3_상대표기,C,3_상대표기,2026,07,16,2026-07-16,완료
000832,000832.jpeg,dev,85,3_상대표기,B,3_상대표기,2026,07,16,2026-07-16,완료
000833,000833.jpeg,dev,85,0_일반,B,,2026,04,27,2026-04-27,완료
000842,000842.jpeg,dev,86,5_판독불가_진짜,A,5_판독불가_진짜,2026,07,03,2026-07-03,완료
000850,000850.jpeg,dev,87,0_일반,C,,2026,08,09,2026-08-09,완료
000853,000853.jpeg,dev,88,0_일반,A,,2026,09,24,2026-09-24,완료
000867,000867.jpg,holdout,89,0_일반,B,,2021,10,23,2021-10-23,완료
000877,000877.jpg,dev,90,0_일반,B,,2023,03,04,2023-03-04,완료
000895,000895.jpg,dev,91,0_일반,C,,2021,06,02,2021-06-02,완료
000905,000905.jpg,holdout,92,4_참조표기,B,1_유통기한만;4_참조표기,2022,01,NONE,2022-01-NONE,완료
000913,000913.jpg,dev,93,5_판독불가_진짜,B,1_유통기한만;5_판독불가_진짜,2021,10,19,2021-10-19,완료
000917,000917.jpg,holdout,94,0_일반,C,,2022,06,06,2022-06-06,완료
000921,000921.jpg,dev,95,5b_판독불가_EXP각인추정,B,5b_판독불가_EXP각인추정,2022,02,26,2022-02-26,완료
000924,000924.jpg,dev,96,5_판독불가_진짜,A,1_유통기한만;5_판독불가_진짜,NONE,02,02,NONE-02-02,완료
000933,000933.jpg,holdout,97,0_일반,A,,2021,05,26,2021-05-26,완료
000939,000939.jpg,dev,98,0_일반,C,,2021,10,28,2021-10-28,완료
000947,000947.jpg,dev,99,0_일반,B,,2021,09,30,2021-09-30,완료
000965,000965.jpg,dev,100,5_판독불가_진짜,C,1_유통기한만;4_참조표기;5_판독불가_진짜,2021,07,23,2021-07-23,완료
000967,000967.jpg,dev,100,2_다중날짜,B,1_유통기한만;2_다중날짜,2022,10,17,2022-10-17,완료
000975,000975.jpg,dev,101,0_일반,B,,2023,08,03,2023-08-03,완료
000998,000998.jpg,dev,102,0_일반,C,,2021,11,11,2021-11-11,완료
001011,001011.jpg,dev,103,5_판독불가_진짜,B,1_유통기한만;4_참조표기;5_판독불가_진짜;6_연도부재,2021,09,08,2021-09-08,완료
001034,001034.jpg,dev,104,3_상대표기,B,1_유통기한만;3_상대표기,2021,06,28,2021-06-28,완료
001035,001035.jpg,dev,104,5_판독불가_진짜,A,1_유통기한만;5_판독불가_진짜,2021,10,07,2021-10-07,완료
001051,001051.jpg,dev,105,4_참조표기,B,1_유통기한만;4_참조표기,2022,12,20,2022-12-20,완료
001063,001063.jpg,dev,106,2_다중날짜,B,1_유통기한만;2_다중날짜,2022,01,04,2022-01-04,완료
001066,001066.jpg,dev,107,0_일반,B,,2022,05,04,2022-05-04,완료
001069,001069.jpg,dev,108,0_일반,A,,2021,03,15,2021-03-15,완료
001072,001072.jpg,dev,109,0_일반,B,,2023,09,18,2023-09-18,완료
001092,001092.jpg,holdout,110,0_일반,B,,2021,03,19,2021-03-19,완료
001098,001098.jpg,holdout,111,2_다중날짜,A,1_유통기한만;2_다중날짜,2021,03,18,2021-03-18,완료
001099,001099.jpg,holdout,111,0_일반,A,,2021,03,18,2021-03-18,완료
001127,001127.jpg,dev,112,2b_부터까지쌍,C,1_유통기한만;2b_부터까지쌍,2021,06,10,2021-06-10,완료
001132,001132.jpg,dev,113,5_판독불가_진짜,A,1_유통기한만;5_판독불가_진짜,2021,02,19,2021-02-19,완료
001141,001141.jpg,holdout,114,1_유통기한만,C,1_유통기한만,2022,03,14,2022-03-14,완료
001144,001144.jpg,dev,115,1_유통기한만,A,1_유통기한만,2021,05,25,2021-05-25,완료
001162,001162.jpg,dev,116,0_일반,A,,2021,12,06,2021-12-06,완료
001173,001173.jpg,dev,117,0_일반,A,,2021,09,NONE,2021-09-NONE,완료
001187,001187.jpg,holdout,118,1_유통기한만,A,1_유통기한만,2020,04,23,2020-04-23,완료
001189,001189.jpg,holdout,118,2b_부터까지쌍,C,1_유통기한만;2b_부터까지쌍;4_참조표기,2019,06,28,2019-06-28,완료
001194,001194.jpg,dev,119,0_일반,C,,2021,02,11,2021-02-11,완료
001195,001195.jpg,dev,119,5_판독불가_진짜,B,1_유통기한만;4_참조표기;5_판독불가_진짜,2021,10,18,2021-10-18,완료
001196,001196.jpg,dev,119,5_판독불가_진짜,B,1_유통기한만;4_참조표기;5_판독불가_진짜,2025,10,18,2025-10-18,완료
001203,001203.jpg,holdout,120,5b_판독불가_EXP각인추정,C,5b_판독불가_EXP각인추정,2023,02,28,2023-02-28,완료
001204,001204.jpg,holdout,120,5b_판독불가_EXP각인추정,C,5b_판독불가_EXP각인추정,2023,02,28,2023-02-28,완료
001209,001209.jpg,holdout,121,0_일반,B,,2021,03,08,2021-03-08,완료
001219,001219.jpg,dev,122,5_판독불가_진짜,C,1_유통기한만;5_판독불가_진짜,2021,01,14,2021-01-14,완료
001225,001225.jpg,holdout,123,1_유통기한만,A,1_유통기한만,2022,06,27,2022-06-27,완료
001229,001229.jpg,dev,124,2_다중날짜,C,1_유통기한만;2_다중날짜,2021,10,28,2021-10-28,완료
001231,001231.jpg,dev,124,0_일반,B,,2021,05,05,2021-05-05,완료
001237,001237.jpg,dev,125,0_일반,B,,NONE,01,28,NONE-01-28,완료
001240,001240.jpg,dev,126,0_일반,C,,2020,12,19,2020-12-19,완료
001250,001250.jpg,dev,127,0_일반,B,,2021,04,11,2021-04-11,완료
001264,001264.jpg,dev,128,0_일반,A,,2022,12,03,2022-12-03,완료
001271,001271.jpg,dev,129,5b_판독불가_EXP각인추정,A,4_참조표기;5b_판독불가_EXP각인추정,2023,07,08,2023-07-08,완료
001272,001272.jpg,dev,129,5b_판독불가_EXP각인추정,C,1_유통기한만;4_참조표기;5b_판독불가_EXP각인추정,2023,07,08,2023-07-08,완료
001280,001280.jpg,dev,130,5b_판독불가_EXP각인추정,B,5b_판독불가_EXP각인추정,2022,10,09,2022-10-09,완료
001281,001281.jpg,dev,130,0_일반,A,,2025,08,05,2025-08-05,완료
001287,001287.jpg,dev,131,0_일반,B,,2023,01,10,2023-01-10,완료
001291,001291.jpg,dev,132,5b_판독불가_EXP각인추정,C,1_유통기한만;4_참조표기;5b_판독불가_EXP각인추정;6_연도부재,2022,11,05,2022-11-05,완료
001307,001307.jpg,dev,133,0_일반,B,,2022,06,11,2022-06-11,완료
001309,001309.jpg,dev,133,0_일반,A,,2021,04,30,2021-04-30,완료
001311,001311.jpg,dev,133,5_판독불가_진짜,C,1_유통기한만;5_판독불가_진짜,2022,10,20,2022-10-20,완료
001315,001315.jpg,holdout,134,4_참조표기,B,1_유통기한만;4_참조표기,2021,12,09,2021-12-09,완료
001317,001317.jpg,holdout,134,5b_판독불가_EXP각인추정,A,5b_판독불가_EXP각인추정,2022,12,07,2022-12-07,완료
001320,001320.jpg,dev,135,0_일반,A,,2021,11,22,2021-11-22,완료
001326,001326.jpg,dev,136,5_판독불가_진짜,C,1_유통기한만;5_판독불가_진짜,2021,07,19,2021-07-19,완료
001330,001330.jpg,holdout,137,0_일반,B,,2021,03,05,2021-03-05,완료
001338,001338.jpg,holdout,138,3_상대표기,A,1_유통기한만;3_상대표기;4_참조표기,2021,06,08,2021-06-08,완료
001345,001345.jpg,dev,139,5_판독불가_진짜,B,1_유통기한만;5_판독불가_진짜,2021,08,27,2021-08-27,완료
001356,001356.jpg,dev,140,5b_판독불가_EXP각인추정,B,5b_판독불가_EXP각인추정,NONE,08,22,NONE-08-22,완료
001357,001357.jpg,dev,140,5b_판독불가_EXP각인추정,A,5b_판독불가_EXP각인추정;6_연도부재,NONE,08,22,NONE-08-22,완료
001366,001366.jpg,dev,141,5b_판독불가_EXP각인추정,B,5b_판독불가_EXP각인추정,2021,09,29,2021-09-29,완료
001367,001367.jpg,dev,141,5b_판독불가_EXP각인추정,C,5b_판독불가_EXP각인추정,2021,09,29,2021-09-29,완료
001369,001369.jpg,excluded,141,5b_판독불가_EXP각인추정,C,5b_판독불가_EXP각인추정,2025,09,21,2025-09-21,보류
001371,001371.jpg,dev,141,0_일반,A,,2022,04,27,2022-04-27,완료
001372,001372.jpg,dev,141,5b_판독불가_EXP각인추정,C,5b_판독불가_EXP각인추정,2022,03,07,2022-03-07,완료
001373,001373.jpg,dev,141,5b_판독불가_EXP각인추정,B,5b_판독불가_EXP각인추정,2022,07,03,2022-07-03,완료
001404,001404.jpg,dev,142,5_판독불가_진짜,B,1_유통기한만;5_판독불가_진짜,2021,01,27,2021-01-27,완료
001420,001420.jpg,dev,143,0_일반,B,,2021,07,01,2021-07-01,완료
001424,001424.jpg,dev,144,5b_판독불가_EXP각인추정,B,5b_판독불가_EXP각인추정,2021,06,22,2021-06-22,완료
001425,001425.jpg,dev,144,5b_판독불가_EXP각인추정,A,5b_판독불가_EXP각인추정,2021,06,22,2021-06-22,완료
001426,001426.jpg,dev,144,0_일반,C,,2020,04,17,2020-04-17,완료
001440,001440.jpg,holdout,145,0_일반,C,,2021,09,03,2021-09-03,완료
001444,001444.jpg,dev,146,0_일반,A,,2021,09,06,2021-09-06,완료
001453,001453.jpg,dev,147,5_판독불가_진짜,C,1_유통기한만;5_판독불가_진짜,2022,09,13,2022-09-13,완료
001456,001456.jpg,holdout,148,5_판독불가_진짜,A,1_유통기한만;4_참조표기;5_판독불가_진짜,2022,06,28,2022-06-28,완료
001457,001457.jpg,holdout,148,5_판독불가_진짜,C,1_유통기한만;5_판독불가_진짜,2022,06,28,2022-06-28,완료
001464,001464.jpg,dev,149,0_일반,A,,2022,11,18,2022-11-18,완료
001484,001484.jpg,dev,150,5_판독불가_진짜,C,1_유통기한만;5_판독불가_진짜,2022,09,28,2022-09-28,완료
001493,001493.jpg,dev,151,0_일반,B,,2023,08,17,2023-08-17,완료
001501,001501.jpg,holdout,152,0_일반,C,,2021,09,23,2021-09-23,완료
001502,001502.jpg,holdout,152,0_일반,C,,2021,06,24,2021-06-24,완료
001509,001509.jpg,dev,153,0_일반,C,,2021,09,19,2021-09-19,완료
001510,001510.jpg,dev,153,6_연도부재,C,3_상대표기;4_참조표기;6_연도부재,2023,12,01,2023-12-01,완료
001517,001517.jpg,dev,154,0_일반,A,,2021,11,19,2021-11-19,완료
001526,001526.jpg,holdout,155,3_상대표기,A,1_유통기한만;3_상대표기,2021,01,21,2021-01-21,완료
001532,001532.jpg,dev,156,0_일반,B,,2022,06,21,2022-06-21,완료
001544,001544.jpg,dev,157,0_일반,B,,2021,08,02,2021-08-02,완료
001555,001555.jpg,dev,158,0_일반,B,,2020,06,03,2020-06-03,완료
001558,001558.jpg,dev,159,5_판독불가_진짜,A,1_유통기한만;5_판독불가_진짜,2021,12,24,2021-12-24,완료
001559,001559.jpg,dev,159,0_일반,B,,2024,12,21,2024-12-21,완료
001568,001568.jpg,dev,160,3_상대표기,B,1_유통기한만;3_상대표기,2021,03,09,2021-03-09,완료
001573,001573.jpg,dev,161,0_일반,C,,2022,01,06,2022-01-06,완료
001583,001583.jpg,dev,162,0_일반,B,,2021,12,15,2021-12-15,완료
001585,001585.jpg,dev,162,5_판독불가_진짜,A,1_유통기한만;4_참조표기;5_판독불가_진짜,2021,10,28,2021-10-28,완료
001589,001589.jpg,holdout,163,4_참조표기,B,1_유통기한만;4_참조표기,2023,01,09,2023-01-09,완료
001600,001600.jpg,dev,164,1_유통기한만,B,1_유통기한만,2021,02,08,2021-02-08,완료
001601,001601.jpg,dev,164,0_일반,B,,2021,02,11,2021-02-11,완료
001620,001620.jpg,dev,165,0_일반,A,,2022,07,19,2022-07-19,완료
001630,001630.jpg,dev,166,0_일반,B,,2022,10,21,2022-10-21,완료
001638,001638.jpg,dev,167,0_일반,A,,2021,04,12,2021-04-12,완료
001644,001644.jpg,holdout,168,5b_판독불가_EXP각인추정,C,5b_판독불가_EXP각인추정,2021,10,16,2021-10-16,완료
001658,001658.jpg,dev,169,3_상대표기,A,1_유통기한만;3_상대표기,2021,10,20,2021-10-20,완료
001668,001668.jpg,holdout,170,1_유통기한만,B,1_유통기한만,2021,09,14,2021-09-14,완료
001685,001685.jpg,dev,171,2b_부터까지쌍,C,1_유통기한만;2b_부터까지쌍,2021,11,29,2021-11-29,완료
001686,001686.jpg,dev,171,2b_부터까지쌍,A,2b_부터까지쌍;3_상대표기,2025,11,27,2025-11-27,완료
001690,001690.jpg,dev,172,0_일반,B,,2020,08,16,2020-08-16,완료
001694,001694.jpg,dev,173,3_상대표기,A,1_유통기한만;3_상대표기,2022,07,01,2022-07-01,완료
001703,001703.jpg,dev,174,0_일반,B,,2021,07,16,2021-07-16,완료
001711,001711.jpg,dev,175,0_일반,C,,2021,10,15,2021-10-15,완료
001715,001715.jpg,dev,176,1_유통기한만,B,1_유통기한만,2021,02,07,2021-02-07,완료
001716,001716.jpg,dev,176,0_일반,C,,2021,02,07,2021-02-07,완료
001719,001719.jpg,dev,177,1_유통기한만,B,1_유통기한만,2021,03,11,2021-03-11,완료
001728,001728.jpg,dev,178,0_일반,B,,2021,02,08,2021-02-08,완료
001745,001745.jpg,dev,179,5_판독불가_진짜,C,1_유통기한만;5_판독불가_진짜,2022,01,28,2022-01-28,완료
001748,001748.jpg,dev,180,0_일반,C,,2019,07,03,2019-07-03,완료
001749,001749.jpg,dev,180,0_일반,C,,2019,07,03,2019-07-03,완료
001751,001751.jpg,dev,180,1_유통기한만,A,1_유통기한만,2021,06,28,2021-06-28,완료
001754,001754.jpg,dev,181,0_일반,B,,2021,12,05,2021-12-05,완료
001759,001759.jpg,dev,182,4_참조표기,B,1_유통기한만;4_참조표기,2021,04,24,2021-04-24,완료
001774,001774.jpg,dev,183,0_일반,C,,2021,04,02,2021-04-02,완료
001780,001780.jpg,dev,184,0_일반,B,,2020,09,01,2020-09-01,완료
001792,001792.jpg,dev,185,0_일반,B,,2020,08,13,2020-08-13,완료
001793,001793.jpg,dev,185,0_일반,C,,2021,11,07,2021-11-07,완료
001797,001797.jpg,dev,186,0_일반,B,,2020,05,26,2020-05-26,완료
001808,001808.jpg,holdout,187,0_일반,C,,2020,08,13,2020-08-13,완료
001814,001814.jpg,dev,188,3_상대표기,C,3_상대표기,2022,06,07,2022-06-07,완료
001836,001836.jpg,dev,189,0_일반,B,,2021,10,02,2021-10-02,완료
001844,001844.jpg,holdout,190,0_일반,B,,2021,11,23,2021-11-23,완료
001859,001859.jpg,dev,191,5_판독불가_진짜,B,1_유통기한만;5_판독불가_진짜,2022,07,08,2022-07-08,완료
001872,001872.jpg,dev,192,4_참조표기,C,1_유통기한만;4_참조표기,2022,10,14,2022-10-14,완료
001885,001885.jpg,dev,193,0_일반,C,,2021,12,05,2021-12-05,완료
001891,001891.jpg,dev,194,0_일반,B,,2022,05,22,2022-05-22,완료
001910,001910.jpg,dev,195,3_상대표기,C,1_유통기한만;3_상대표기;4_참조표기,2021,05,07,2021-05-07,완료
001922,001922.jpg,dev,196,1_유통기한만,A,1_유통기한만,2022,06,14,2022-06-14,완료
001923,001923.jpg,dev,196,1_유통기한만,C,1_유통기한만,2022,06,14,2022-06-14,완료
001928,001928.jpg,dev,197,1_유통기한만,C,1_유통기한만,2022,01,14,2022-01-14,완료
001934,001934.jpg,dev,198,0_일반,A,,2022,03,29,2022-03-29,완료
001958,001958.jpg,dev,199,3_상대표기,A,1_유통기한만;3_상대표기,2022,05,13,2022-05-13,완료
001963,001963.jpg,dev,200,2_다중날짜,B,1_유통기한만;2_다중날짜;4_참조표기,2021,10,09,2021-10-09,완료
001967,001967.jpg,dev,201,3_상대표기,B,1_유통기한만;3_상대표기,2022,08,24,2022-08-24,완료
001972,001972.jpg,holdout,202,0_일반,A,,2023,03,15,2023-03-15,완료
001986,001986.jpg,dev,203,0_일반,B,,2023,01,04,2023-01-04,완료
001995,001995.jpg,dev,204,0_일반,B,,2021,12,18,2021-12-18,완료
002002,002002.jpg,dev,205,0_일반,C,,2022,01,27,2022-01-27,완료
002024,002024.jpg,holdout,206,5b_판독불가_EXP각인추정,C,5b_판독불가_EXP각인추정,2020,11,10,2020-11-10,완료
002033,002033.jpg,holdout,207,0_일반,C,,2022,03,22,2022-03-22,완료
002039,002039.jpg,dev,208,0_일반,B,,2021,12,03,2021-12-03,완료
002049,002049.jpg,dev,209,3_상대표기,B,1_유통기한만;3_상대표기,2021,03,25,2021-03-25,완료
002052,002052.jpg,dev,210,0_일반,A,,NONE,04,14,NONE-04-14,완료
