image_id,file,cat,kind,exp_score,blur_n,contrast,range,lum,glare,gap_gain,comp_per_w,stroke_n,ink,skew,box_h,box_w
000284,000284.jpg,5_판독불가_진짜,crop,0.5948,2.088,36.0,137.0,185.1,0.0003,0.068,16.38,1.91,0.089,0.0,307,1378
000285,000285.jpg,0_일반,crop,0.7258,0.928,24.8,70.0,224.3,0.0,0.008,5.56,1.91,0.072,2.1,280,868
000286,000286.jpg,3_상대표기,crop,0.7327,0.268,39.2,143.0,172.1,0.0,0.01,7.47,1.91,0.123,-7.5,318,865
000287,000287.jpg,5_판독불가_진짜,crop,0.6664,2.716,21.7,26.0,207.8,0.0,0.129,16.32,1.91,0.043,0.3,315,1181
000290,000290.jpg,0_일반,crop,0.5182,1.576,20.2,60.0,190.8,0.0127,0.1,30.81,1.91,0.141,0.0,344,998
000291,000291.jpg,3_상대표기,crop,0.7795,1.759,41.9,147.0,216.6,0.0003,0.058,13.07,1.91,0.128,0.0,338,930
000294,000294.jpg,2_다중날짜,crop,0.6122,0.261,53.5,171.0,187.2,0.0,0.039,20.24,1.91,0.221,0.0,265,1044
000307,000307.jpg,0_일반,crop,0.7033,0.49,37.7,123.0,120.0,0.0021,0.022,14.95,2.74,0.144,0.0,275,835
000320,000320.jpg,2b_부터까지쌍,crop,0.6892,0.663,42.9,139.0,146.4,0.0,0.028,17.5,1.91,0.156,2.6,298,932
000362,000362.jpg,0_일반,crop,0.5772,0.462,48.7,163.0,137.1,0.0105,0.049,28.84,1.91,0.224,0.0,354,1192
000366,000366.jpg,5_판독불가_진짜,crop,0.559,1.769,17.9,49.3,190.7,0.0017,0.064,6.48,1.91,0.078,4.3,371,1434
000367,000367.jpg,0_일반,crop,0.6202,0.375,15.9,40.0,178.0,0.0079,0.018,6.74,1.91,0.096,0.0,274,1147
000383,000383.jpg,4_참조표기,crop,0.516,0.812,30.0,101.0,209.8,0.0,0.059,7.58,1.91,0.095,3.1,230,715
000384,000384.jpg,5_판독불가_진짜,crop,0.3771,0.834,38.0,129.0,216.6,0.0,0.039,10.09,1.91,0.115,0.0,85,462
000386,000386.jpg,0_일반,crop,0.4569,0.505,79.3,227.0,166.5,0.0008,0.035,9.09,2.74,0.245,0.0,118,487
000388,000388.jpg,0_일반,crop,0.7454,0.405,65.0,176.0,145.2,0.0,0.033,7.97,2.74,0.282,0.0,158,622
000396,000396.jpg,5_판독불가_진짜,crop,0.7156,0.168,41.9,131.0,129.1,0.0135,0.026,9.67,2.74,0.199,0.0,146,756
000401,000401.jpg,0_일반,crop,0.5212,1.646,11.2,32.0,135.4,0.0,0.174,41.21,1.91,0.071,5.5,260,740
000404,000404.jpg,0_일반,crop,0.2966,3.139,40.5,132.0,41.3,0.0001,0.215,51.2,1.91,0.135,0.0,246,1277
000411,000411.jpg,3_상대표기,crop,0.4588,0.761,45.3,160.0,170.2,0.0373,0.035,15.38,1.91,0.185,0.0,130,423
000412,000412.jpg,3_상대표기,crop,0.6252,1.39,17.8,46.0,217.8,0.0,0.035,8.38,1.91,0.075,0.0,282,845
000422,000422.jpg,0_일반,crop,0.4727,1.102,16.2,47.0,220.9,0.0,0.018,5.28,1.91,0.076,1.3,109,452
000424,000424.jpg,3_상대표기,crop,0.5461,0.638,44.8,137.0,172.9,0.0,0.026,11.07,2.74,0.177,0.0,123,470
000426,000426.jpg,0_일반,crop,0.3691,0.749,21.1,76.0,213.3,0.0,0.021,6.38,1.91,0.089,0.0,132,388
000442,000442.jpg,4_참조표기,crop,0.7024,0.274,24.7,83.0,154.8,0.0,0.038,8.99,1.91,0.11,0.0,156,679
000443,000443.jpg,2b_부터까지쌍,crop,0.804,2.399,35.2,127.0,206.0,0.0,0.121,24.5,1.91,0.096,2.2,192,602
000445,000445.jpg,5_판독불가_진짜,crop,0.5034,3.955,17.8,10.0,191.8,0.0,0.095,6.13,1.91,0.041,1.2,205,680
000449,000449.jpg,0_일반,full,0.1972,1.107,63.3,202.0,116.0,0.0039,0.084,27.08,1.91,0.399,0.0,900,675
000465,000465.jpg,0_일반,crop,0.4492,0.488,48.8,167.0,205.0,0.0,0.014,4.48,2.74,0.113,6.3,117,409
000476,000476.jpg,0_일반,crop,0.4468,0.952,43.7,150.0,132.9,0.001,0.061,23.79,1.91,0.222,-2.1,141,454
000484,000484.jpg,5_판독불가_진짜,full,0.029,1.548,59.8,192.0,128.0,0.005,0.211,35.42,1.91,0.36,0.0,900,675
000492,000492.jpg,5_판독불가_진짜,crop,0.6598,1.172,54.9,174.0,223.7,0.0299,0.073,17.99,1.91,0.157,0.0,241,712
000495,000495.jpg,2b_부터까지쌍,crop,0.4769,0.531,47.0,138.0,198.9,0.0,0.014,9.06,2.74,0.199,0.0,97,386
000512,000512.jpg,5_판독불가_진짜,crop,0.3275,0.492,48.2,142.0,170.7,0.0,0.007,8.79,2.74,0.167,0.0,135,576
000515,000515.jpg,0_일반,crop,0.3672,1.147,17.7,27.0,194.0,0.0,0.075,6.72,1.91,0.048,-0.4,104,388
000516,000516.jpg,5b_판독불가_EXP각인추정,crop,0.3893,0.297,36.3,125.0,209.0,0.0,0.011,8.18,1.91,0.112,2.9,94,324
000558,000558.jpg,0_일반,crop,0.5568,0.399,58.3,159.0,181.9,0.0,0.062,11.81,1.91,0.196,0.0,144,610
000564,000564.jpg,5_판독불가_진짜,crop,0.6397,0.926,23.2,86.0,173.5,0.0,0.059,6.09,1.91,0.088,1.0,106,327
000600,000600.jpg,0_일반,crop,0.7116,0.806,41.1,126.0,116.2,0.0082,0.078,28.9,1.91,0.24,0.0,137,371
000634,000634.jpg,0_일반,crop,0.7843,0.276,45.3,174.0,184.5,0.0,0.008,7.59,2.74,0.132,2.8,236,829
000641,000641.jpg,0_일반,crop,0.7683,0.191,41.5,155.0,146.6,0.0,0.029,9.09,1.91,0.133,1.2,229,748
000679,000679.jpg,5_판독불가_진짜,crop,0.5967,2.257,21.6,28.0,220.9,0.0,0.153,16.84,1.91,0.047,1.8,260,1159
000686,000686.jpg,2_다중날짜,crop,0.6666,0.366,23.9,80.0,204.9,0.0,0.01,5.56,1.91,0.097,-1.2,127,466
000687,000687.jpg,0_일반,full,0.2214,2.37,43.5,128.0,187.6,0.0001,0.227,80.0,1.91,0.277,0.0,900,506
000692,000692.jpg,0_일반,crop,0.7521,0.188,43.5,138.0,125.6,0.0,0.038,25.99,1.91,0.28,0.0,208,576
000710,000710.jpg,0_일반,crop,0.5855,0.099,46.3,128.0,122.9,0.0,0.014,26.32,1.91,0.154,0.0,192,628
000716,000716.jpg,0_일반,crop,0.4997,0.702,35.9,138.0,178.1,0.0012,0.019,13.79,1.91,0.141,0.0,212,578
000737,000737.jpg,3_상대표기,crop,0.7404,0.638,71.0,160.0,163.7,0.0,0.07,19.65,1.91,0.27,0.4,438,1184
000739,000739.jpg,2_다중날짜,crop,0.4793,1.427,61.0,178.0,177.6,0.0003,0.07,20.92,2.74,0.207,0.0,292,1289
000747,000747.jpg,3_상대표기,crop,0.6811,1.208,35.6,133.0,152.8,0.0,0.042,9.75,1.91,0.111,6.6,308,1137
000750,000750.jpg,0_일반,crop,0.5583,0.464,69.0,192.0,167.6,0.0,0.01,9.06,3.82,0.215,0.0,309,1548
000755,000755.jpg,4_참조표기,crop,0.6647,0.224,49.9,165.0,184.0,0.0,0.006,4.78,2.74,0.138,-5.4,170,669
000757,000757.jpg,5_판독불가_진짜,crop,0.679,1.163,21.6,62.0,223.8,0.0001,0.082,14.58,1.91,0.078,-1.3,227,514
000800,000800.jpeg,5_판독불가_진짜,crop,0.5913,2.469,23.3,61.0,144.4,0.015,0.114,16.31,1.91,0.196,-5.4,239,871
000816,000816.jpeg,0_일반,crop,0.5822,5.063,44.6,145.0,212.2,0.0661,0.385,117.22,1.91,0.163,0.0,429,1210
000819,000819.jpeg,0_일반,crop,0.4505,1.661,62.5,206.0,191.5,0.0165,0.061,46.6,1.91,0.195,0.0,250,1209
000831,000831.jpeg,3_상대표기,full,0.2181,0.604,65.8,195.0,131.5,0.0,0.19,62.5,1.91,0.297,0.0,900,675
000832,000832.jpeg,3_상대표기,crop,0.3845,2.606,42.1,153.0,187.6,0.0004,0.138,64.47,1.91,0.14,0.0,256,1218
000833,000833.jpeg,0_일반,crop,0.5517,0.621,44.6,165.0,195.3,0.0,0.045,12.55,1.91,0.121,0.0,284,1206
000842,000842.jpeg,5_판독불가_진짜,full,0.2321,1.578,65.6,205.0,128.8,0.0024,0.159,33.33,1.91,0.385,0.0,900,675
000850,000850.jpeg,0_일반,crop,0.5448,1.101,24.5,91.0,130.0,0.0,0.052,6.49,2.74,0.202,-1.2,205,1086
000853,000853.jpeg,0_일반,crop,0.6511,1.669,27.6,58.0,103.1,0.0009,0.174,16.32,1.91,0.184,0.0,319,952
000877,000877.jpg,0_일반,full,0.2464,1.271,52.7,170.0,139.7,0.0,0.174,56.47,1.91,0.329,0.0,674,900
000895,000895.jpg,0_일반,crop,0.7112,0.278,20.9,62.0,239.5,0.4881,0.041,11.68,1.91,0.131,0.0,46,142
000913,000913.jpg,5_판독불가_진짜,crop,0.5402,1.707,27.4,50.0,207.1,0.0,0.092,28.62,1.91,0.078,0.0,58,276
000921,000921.jpg,5b_판독불가_EXP각인추정,crop,0.5525,0.921,25.2,92.0,135.2,0.0,0.086,11.63,1.91,0.107,0.0,49,198
000924,000924.jpg,5_판독불가_진짜,crop,0.6127,1.576,40.1,121.0,191.2,0.0,0.066,17.99,1.91,0.14,0.0,59,221
000939,000939.jpg,0_일반,full,0.1944,0.666,66.5,188.0,117.2,0.0002,0.108,42.55,1.91,0.39,0.0,900,671
000947,000947.jpg,0_일반,crop,0.348,0.232,23.9,79.0,125.7,0.0,0.081,11.01,1.91,0.171,-5.3,33,178
000965,000965.jpg,5_판독불가_진짜,full,0.2358,1.126,65.6,200.0,149.5,0.0001,0.152,43.75,1.91,0.353,0.0,899,675
000967,000967.jpg,2_다중날짜,crop,0.6805,0.809,41.4,163.0,193.9,0.0,0.032,7.2,1.91,0.103,0.0,74,274
000975,000975.jpg,0_일반,crop,0.2584,0.401,50.3,151.0,154.1,0.0001,0.018,8.47,2.74,0.178,0.0,56,166
000998,000998.jpg,0_일반,crop,0.368,0.406,29.2,104.0,112.5,0.0,0.02,16.03,1.91,0.129,0.0,42,172
001011,001011.jpg,5_판독불가_진짜,crop,0.5966,0.513,33.1,103.0,236.4,0.6363,0.054,7.69,1.91,0.116,4.4,41,100
001034,001034.jpg,3_상대표기,crop,0.7771,0.273,48.5,150.0,152.6,0.0,0.011,10.15,2.74,0.176,0.0,47,196
001035,001035.jpg,5_판독불가_진짜,crop,0.8539,0.267,64.6,183.0,144.0,0.0,0.016,8.96,3.82,0.247,0.0,37,194
001051,001051.jpg,4_참조표기,crop,0.7122,0.797,33.5,105.0,203.8,0.0,0.011,4.74,1.91,0.076,-7.0,46,167
001063,001063.jpg,2_다중날짜,crop,0.8627,0.508,67.6,209.0,172.4,0.0,0.026,18.71,2.74,0.185,0.0,37,170
001066,001066.jpg,0_일반,crop,0.6868,0.211,27.4,93.0,199.4,0.0,0.041,6.83,1.91,0.117,0.0,40,156
001069,001069.jpg,0_일반,crop,0.6621,0.612,18.3,62.0,113.1,0.0,0.059,41.98,1.91,0.179,0.0,63,160
001072,001072.jpg,0_일반,crop,0.5936,0.468,47.0,150.0,153.3,0.0,0.029,7.78,2.74,0.16,0.0,37,149
001127,001127.jpg,2b_부터까지쌍,crop,0.8262,0.375,62.1,182.0,174.7,0.0,0.017,10.0,3.82,0.192,0.0,47,184
001132,001132.jpg,5_판독불가_진짜,crop,0.6099,0.68,35.0,131.0,178.9,0.0,0.057,7.03,1.91,0.095,0.8,58,284
001144,001144.jpg,1_유통기한만,crop,0.4077,0.423,59.8,145.0,54.5,0.0,0.011,10.59,1.91,0.157,0.0,65,240
001162,001162.jpg,0_일반,crop,0.6094,1.34,23.0,79.0,109.2,0.0,0.051,5.28,1.91,0.185,0.0,68,262
001173,001173.jpg,0_일반,crop,0.4285,0.376,35.3,119.4,214.9,0.0,0.029,15.17,1.91,0.116,0.0,48,109
001194,001194.jpg,0_일반,full,0.1473,0.97,60.9,189.0,127.5,0.0018,0.185,75.0,1.91,0.35,0.0,640,640
001195,001195.jpg,5_판독불가_진짜,crop,0.7408,2.04,32.9,54.0,222.7,0.0,0.07,20.0,1.91,0.068,-0.5,65,158
001196,001196.jpg,5_판독불가_진짜,crop,0.4313,0.929,21.8,60.0,166.0,0.0,0.071,15.83,1.91,0.096,3.3,54,102
001219,001219.jpg,5_판독불가_진짜,crop,0.6489,1.252,18.8,17.0,213.6,0.0,0.044,3.57,1.91,0.042,-0.4,63,276
001229,001229.jpg,2_다중날짜,crop,0.7112,0.864,37.0,123.0,147.7,0.0,0.02,5.79,1.91,0.182,-1.2,59,239
001231,001231.jpg,0_일반,crop,0.5252,1.588,34.5,123.0,188.3,0.0001,0.058,32.5,1.91,0.157,0.0,68,171
001237,001237.jpg,0_일반,crop,0.3528,0.609,27.9,92.9,154.5,0.0,0.053,15.03,1.91,0.121,0.0,68,163
001240,001240.jpg,0_일반,crop,0.5232,0.245,27.3,81.0,167.5,0.0,0.022,4.14,1.91,0.098,-3.3,63,262
001250,001250.jpg,0_일반,crop,0.7565,0.355,58.9,185.0,166.9,0.0,0.018,7.93,3.82,0.155,1.3,58,206
001264,001264.jpg,0_일반,crop,0.5909,0.66,22.8,65.0,182.0,0.0,0.033,7.57,1.91,0.089,-2.9,50,145
001271,001271.jpg,5b_판독불가_EXP각인추정,crop,0.7085,0.324,67.2,189.0,164.3,0.0,0.022,8.96,3.82,0.236,0.0,56,186
001272,001272.jpg,5b_판독불가_EXP각인추정,crop,0.6897,0.212,60.8,166.0,153.9,0.0,0.026,12.2,2.74,0.271,0.0,47,91
001280,001280.jpg,5b_판독불가_EXP각인추정,crop,0.5592,0.233,47.1,139.0,196.3,0.0011,0.019,8.98,2.74,0.224,0.0,47,188
001281,001281.jpg,0_일반,crop,0.5523,0.28,75.4,223.0,185.7,0.0073,0.018,18.54,3.82,0.203,0.0,40,189
001287,001287.jpg,0_일반,crop,0.3847,0.335,60.9,177.0,176.7,0.0,0.01,8.72,2.74,0.185,0.0,50,171
001291,001291.jpg,5b_판독불가_EXP각인추정,crop,0.549,0.597,33.5,118.0,140.5,0.0,0.051,19.34,1.91,0.157,0.0,45,215
001307,001307.jpg,0_일반,crop,0.5705,0.746,27.8,82.0,104.3,0.0,0.094,23.58,1.91,0.265,0.0,65,250
001309,001309.jpg,0_일반,full,0.0076,1.568,58.5,196.0,109.4,0.0,0.225,43.75,1.91,0.336,0.0,900,675
001311,001311.jpg,5_판독불가_진짜,crop,0.6037,0.53,45.3,151.0,162.9,0.0042,0.043,14.67,1.91,0.167,0.0,59,239
001320,001320.jpg,0_일반,crop,0.6485,0.335,37.8,114.0,237.1,0.7266,0.03,11.26,1.91,0.144,0.0,49,116
001326,001326.jpg,5_판독불가_진짜,crop,0.644,1.171,67.1,213.0,180.1,0.0002,0.055,16.16,2.74,0.162,0.0,64,198
001345,001345.jpg,5_판독불가_진짜,crop,0.3129,0.294,23.4,70.0,64.0,0.0,0.032,11.15,1.91,0.229,0.0,55,232
001356,001356.jpg,5b_판독불가_EXP각인추정,crop,0.6307,0.607,31.4,101.0,100.6,0.0,0.054,75.93,1.91,0.236,0.0,46,117
001357,001357.jpg,5b_판독불가_EXP각인추정,full,0.1786,0.863,60.6,183.0,109.1,0.0032,0.154,42.19,1.91,0.347,0.0,640,640
001366,001366.jpg,5b_판독불가_EXP각인추정,crop,0.5785,0.353,67.0,217.0,155.7,0.0001,0.069,23.15,3.82,0.23,0.0,56,284
001367,001367.jpg,5b_판독불가_EXP각인추정,crop,0.6214,0.235,52.7,185.0,124.0,0.0,0.027,17.98,2.74,0.257,0.0,55,153
001371,001371.jpg,0_일반,crop,0.609,0.513,45.3,175.0,176.1,0.0001,0.043,15.87,1.91,0.106,0.0,75,244
001372,001372.jpg,5b_판독불가_EXP각인추정,crop,0.771,0.174,57.1,176.0,181.3,0.0084,0.014,15.85,2.74,0.201,0.0,59,245
001373,001373.jpg,5b_판독불가_EXP각인추정,crop,0.7583,0.144,52.5,169.0,190.1,0.0114,0.015,19.85,2.74,0.193,0.0,40,167
001404,001404.jpg,5_판독불가_진짜,crop,0.6646,0.274,48.2,160.1,165.4,0.0,0.018,9.06,2.74,0.149,0.0,39,162
001420,001420.jpg,0_일반,crop,0.6483,0.346,45.0,161.0,174.0,0.0,0.008,13.23,2.74,0.1,-0.5,64,257
001424,001424.jpg,5b_판독불가_EXP각인추정,crop,0.59,0.167,52.5,141.0,130.2,0.0,0.013,8.22,3.82,0.244,0.0,38,210
001425,001425.jpg,5b_판독불가_EXP각인추정,crop,0.4658,0.169,47.2,133.0,99.2,0.0,0.072,6.58,3.82,0.324,0.0,28,193
001426,001426.jpg,0_일반,crop,0.6167,0.66,36.5,126.0,138.3,0.0,0.016,7.91,2.74,0.122,-2.9,64,215
001444,001444.jpg,0_일반,full,0.2121,1.087,71.6,220.0,146.5,0.0012,0.189,50.0,1.91,0.341,0.0,640,640
001453,001453.jpg,5_판독불가_진짜,crop,0.5777,0.185,44.5,114.0,178.0,0.0,0.012,9.69,2.74,0.2,2.5,47,144
001464,001464.jpg,0_일반,crop,0.7387,1.144,36.6,138.0,157.1,0.0,0.087,35.22,1.91,0.131,0.0,41,193
001484,001484.jpg,5_판독불가_진짜,crop,0.5347,1.672,21.3,63.0,201.6,0.0,0.146,30.18,1.91,0.09,0.0,55,146
001493,001493.jpg,0_일반,full,0.2092,1.367,54.1,174.0,122.9,0.0,0.129,31.91,1.91,0.393,0.0,900,673
001509,001509.jpg,0_일반,crop,0.3938,0.911,27.9,97.4,134.2,0.0,0.114,15.62,1.91,0.092,-7.7,84,168
001510,001510.jpg,6_연도부재,crop,0.6363,0.405,47.7,140.0,132.9,0.0,0.033,15.64,2.74,0.209,0.0,71,270
001517,001517.jpg,0_일반,crop,0.6228,0.126,45.9,145.0,231.1,0.6776,0.021,10.18,2.74,0.146,4.8,46,163
001532,001532.jpg,0_일반,crop,0.8013,1.736,33.9,109.0,215.3,0.0008,0.073,8.6,1.91,0.128,0.0,68,198
001544,001544.jpg,0_일반,crop,0.8878,0.574,50.5,165.0,188.6,0.0129,0.037,21.85,1.91,0.176,0.0,50,186
001555,001555.jpg,0_일반,crop,0.6431,0.411,26.0,89.0,130.1,0.0,0.029,42.31,1.91,0.311,0.0,50,163
001558,001558.jpg,5_판독불가_진짜,crop,0.7322,0.749,42.1,144.0,178.3,0.0,0.085,21.62,1.91,0.164,0.0,59,171
001559,001559.jpg,0_일반,crop,0.643,0.171,42.1,125.0,115.6,0.0,0.049,23.86,1.91,0.196,0.0,52,143
001568,001568.jpg,3_상대표기,crop,0.6231,1.672,21.0,59.0,175.7,0.0001,0.091,10.0,1.91,0.095,0.5,63,247
001573,001573.jpg,0_일반,crop,0.7224,0.643,31.5,104.0,128.3,0.0022,0.035,10.47,1.91,0.156,0.0,68,203
001583,001583.jpg,0_일반,crop,0.5926,0.597,31.5,87.2,187.1,0.0083,0.098,49.21,1.91,0.207,0.0,56,221
001585,001585.jpg,5_판독불가_진짜,crop,0.6952,4.31,26.3,61.0,188.9,0.0,0.089,21.14,1.91,0.069,0.0,64,175
001600,001600.jpg,1_유통기한만,crop,0.8055,0.489,46.7,163.0,151.6,0.0,0.02,18.81,1.91,0.189,0.0,54,171
001601,001601.jpg,0_일반,crop,0.6217,0.877,50.5,173.0,173.4,0.0,0.111,11.54,1.91,0.15,-7.9,57,116
001620,001620.jpg,0_일반,crop,0.7158,2.896,38.7,135.0,191.5,0.0,0.072,26.74,1.91,0.116,0.0,64,187
001630,001630.jpg,0_일반,crop,0.7573,0.986,35.1,102.0,126.2,0.0073,0.131,26.02,1.91,0.133,0.0,80,246
001638,001638.jpg,0_일반,crop,0.7738,0.223,54.5,142.0,202.9,0.0063,0.061,16.87,1.91,0.199,0.0,64,166
001658,001658.jpg,3_상대표기,crop,0.5118,0.986,10.1,37.0,44.3,0.0,0.121,23.29,1.91,0.059,6.6,81,186
001685,001685.jpg,2b_부터까지쌍,crop,0.7449,2.488,49.9,191.0,206.7,0.0,0.109,66.82,1.91,0.117,0.0,64,220
001686,001686.jpg,2b_부터까지쌍,crop,0.7673,0.947,47.8,133.0,173.3,0.0001,0.069,10.87,1.91,0.109,-3.2,72,208
001690,001690.jpg,0_일반,crop,0.5092,0.314,49.8,144.0,134.6,0.0,0.019,4.96,3.82,0.179,1.8,57,306
001694,001694.jpg,3_상대표기,crop,0.7806,0.619,79.2,206.0,144.6,0.0,0.06,13.07,2.74,0.295,0.0,89,245
001703,001703.jpg,0_일반,crop,0.6366,0.498,56.0,186.0,179.3,0.0,0.014,9.26,2.74,0.137,7.1,63,213
001711,001711.jpg,0_일반,crop,0.4573,0.818,15.9,52.0,236.0,0.0144,0.042,13.64,1.91,0.11,0.0,49,152
001715,001715.jpg,1_유통기한만,crop,0.735,0.428,45.5,162.0,177.6,0.0,0.011,6.19,1.91,0.129,4.3,72,219
001716,001716.jpg,0_일반,crop,0.5316,0.321,34.0,125.0,113.6,0.0,0.031,11.11,1.91,0.124,0.0,63,169
001719,001719.jpg,1_유통기한만,crop,0.2845,0.893,49.7,166.0,172.4,0.0,0.042,12.96,1.91,0.142,0.0,74,188
001728,001728.jpg,0_일반,crop,0.761,0.131,29.1,118.0,136.3,0.0,0.035,30.93,1.91,0.217,0.0,45,137
001745,001745.jpg,5_판독불가_진짜,crop,0.4909,0.83,34.5,117.0,177.5,0.0,0.039,14.37,1.91,0.178,0.0,63,158
001748,001748.jpg,0_일반,crop,0.3248,0.572,39.7,141.0,189.5,0.0,0.075,48.44,1.91,0.123,0.0,66,431
001749,001749.jpg,0_일반,crop,0.333,0.332,36.9,115.0,215.7,0.0332,0.08,14.29,1.91,0.166,0.0,65,249
001751,001751.jpg,1_유통기한만,crop,0.5254,0.535,41.2,139.0,154.8,0.0,0.085,18.99,1.91,0.157,0.0,72,202
001754,001754.jpg,0_일반,crop,0.8045,0.705,43.3,140.0,116.2,0.0062,0.068,38.43,1.91,0.217,0.0,65,220
001759,001759.jpg,4_참조표기,crop,0.7282,0.645,19.1,62.9,161.5,0.0,0.025,6.6,1.91,0.076,2.2,59,196
001774,001774.jpg,0_일반,crop,0.6737,2.625,40.0,138.0,197.0,0.0005,0.094,8.41,1.91,0.106,0.0,64,309
001780,001780.jpg,0_일반,crop,0.7222,1.007,45.3,155.0,152.7,0.0,0.045,12.71,1.91,0.145,0.0,50,228
001792,001792.jpg,0_일반,crop,0.5383,0.914,14.3,45.0,107.0,0.0,0.061,9.86,1.91,0.088,0.0,83,185
001793,001793.jpg,0_일반,crop,0.445,1.495,36.1,127.5,192.8,0.0,0.057,7.89,1.91,0.08,0.0,66,275
001797,001797.jpg,0_일반,crop,0.2958,0.504,30.6,94.0,173.5,0.0,0.031,6.15,1.91,0.104,1.5,63,305
001814,001814.jpg,3_상대표기,crop,0.7061,1.168,53.1,182.0,201.4,0.0,0.123,10.31,1.91,0.151,0.0,78,237
001836,001836.jpg,0_일반,crop,0.7814,0.648,36.5,126.0,183.1,0.0,0.041,21.0,1.91,0.174,0.0,80,274
001859,001859.jpg,5_판독불가_진짜,crop,0.3248,2.187,38.5,113.2,217.7,0.0,0.092,55.45,1.91,0.097,0.0,72,228
001872,001872.jpg,4_참조표기,crop,0.7177,0.813,41.4,160.0,182.7,0.0,0.026,9.78,1.91,0.112,10.6,73,210
001885,001885.jpg,0_일반,crop,0.4734,0.404,53.1,185.0,43.1,0.0,0.007,11.85,1.91,0.124,0.0,56,237
001891,001891.jpg,0_일반,crop,0.3282,1.784,40.3,141.0,78.2,0.0027,0.037,11.25,1.91,0.146,0.0,100,376
001910,001910.jpg,3_상대표기,crop,0.8085,0.44,74.0,196.0,180.9,0.0006,0.021,11.32,3.82,0.262,1.2,57,189
001922,001922.jpg,1_유통기한만,crop,0.6353,0.631,59.7,181.0,187.6,0.0,0.04,10.09,2.74,0.17,0.0,89,318
001923,001923.jpg,1_유통기한만,crop,0.691,0.174,52.4,151.0,223.9,0.6532,0.03,8.76,2.74,0.208,0.0,47,185
